priority,rule_id,source_file,controlled_or_affected_fields,condition,required_treatment,scope
1,intake_control,case_intake_register.csv,issue_type|requested_remediation|requested_expedite_usd|opened_at_utc|intake_priority,ordinary active-case record,Use the source value,field_level
2,po_control,purchase_order_register.csv,po_id|supplier_id|supplier_name|supplier_tier|sku|ordered_qty|unit_cost_usd|original_required_date|receiving_site,ordinary active-case record,Use the source value,field_level
3,ack_control,supplier_acknowledgements.csv,acknowledged_qty|promised_delivery_date,ack_status=accepted and no approved revision replaces that field,Use the acknowledgement value,field_level
4,revision_control,revision_history.csv,revised_field,revision_status=approved,Replace only the named field,field_level
5,superseded_revision,revision_history.csv,revised_field,revision_status=superseded,Reject the revision,field_level
6,shipment_control,shipment_event_log.csv,actual_delivery_date|actual_delivery_source,delivered event is structurally valid or the timestamp remains uniquely determinable,Use the reliable delivered timestamp,field_level
7,malformed_shipment_scope,shipment_event_log.csv,carrier_reference|notes,physical row has fewer fields and only trailing fields are ambiguous,Classify malformed_partially_reconstructable and limit uncertainty to the ambiguous trailing fields,non_decision_critical
8,receipt_control,warehouse_receipt_log.csv,received_qty|receipt_timestamp,receipt_status=posted,Use the source value,field_level
9,quality_control,quality_inspection_log.csv,rejected_qty|disposition|quality_hold_required,ordinary inspection record,Use the source value,field_level
10,contract_control,supplier_contract_terms.csv,shortage_debit_per_unit_usd|damage_debit_per_unit_usd|max_supplier_debit_usd,supplier_tier matches,Use the tier rule,field_level
11,ledger_control,inventory_adjustment_ledger.csv,posted_supplier_debit_usd,the applicable posted amount is uniquely established,Use the amount_usd value,decision_critical
12,ledger_duplicate_key_conflict,inventory_adjustment_ledger.csv,posted_supplier_debit_usd|supplier_debit_delta_usd|supplier_debit_status|reconciliation_status|final_case_status,"same adjustment_id occurs more than once with different amount_usd values and no explicit reversal, void, correction, or replacement",Do not sum or select a row; apply Needs verification to the uncertain posted amount and dependent fields,decision_critical
13,expedite_authorization_control,expedite_authorizations.csv,authorized_expedite_usd,ordinary authorization record,Use the source value,field_level
14,freight_invoice_control,freight_invoice_ledger.csv,invoiced_expedite_usd,ordinary invoice record,Use the source value,field_level
15,qualification_control,supplier_scorecard.csv,source_supplier_qualification_status,ordinary scorecard record,Retain the source value,field_level
16,unsupported_qualification,supplier_scorecard.csv,supplier_qualification_status|uncertainty_scope|final_case_status,source qualification is outside the allowed vocabulary,Set the adjudicated qualification and dependent final decision to Needs verification while retaining the source value,decision_critical
17,duplicate_case_control,duplicate_case_register.csv,record_role|duplicate_of_case_id,record_role=duplicate_only,Exclude from active-case outputs and retain in required exception and rejection evidence,scope_control
