source_file,record_type,record_id,case_id,po_id,event_timestamp_utc,event_location,received_qty,inspected_qty,rejected_qty,disposition,quality_hold_required,receipt_status,carrier_reference,notes,source_field_count,expected_field_count,raw_tail_value
shipment_event_log.csv,shipment_delivery,EV-801D,SCM-2026-801,PO-801,2026-06-12T13:00:00Z,Calgary DC,,,,,,,CREF-801,delivered complete,8,8,
shipment_event_log.csv,shipment_delivery,EV-802D,SCM-2026-802,PO-802,2026-06-11T14:00:00Z,Calgary DC,,,,,,,CREF-802,partial delivery,8,8,
shipment_event_log.csv,shipment_delivery,EV-803D,SCM-2026-803,PO-803,2026-06-14T15:00:00Z,Calgary DC,,,,,,,CREF-803,delivered to quarantine lane,8,8,
shipment_event_log.csv,shipment_delivery,EV-804D,SCM-2026-804,PO-804,2026-06-17T11:00:00Z,Calgary DC,,,,,,,CREF-804,delivered complete,8,8,
shipment_event_log.csv,shipment_delivery,EV-805D,SCM-2026-805,PO-805,2026-06-19T16:30:00Z,Calgary DC,,,,,,,,,7,8,proof received
shipment_event_log.csv,shipment_delivery,EV-806D,SCM-2026-806,PO-806,2026-06-22T17:00:00Z,Calgary DC,,,,,,,CREF-806,partial delivery,8,8,
shipment_event_log.csv,shipment_delivery,EV-807D,SCM-2026-807,PO-807,2026-06-24T16:00:00Z,Calgary DC,,,,,,,CREF-807,overreceipt noted,8,8,
shipment_event_log.csv,shipment_delivery,EV-808D,SCM-2026-808,PO-808,2026-06-27T12:00:00Z,Calgary DC,,,,,,,CREF-808,delivered complete,8,8,
warehouse_receipt_log.csv,warehouse_receipt,RCV-801,SCM-2026-801,PO-801,2026-06-12T13:30:00Z,YYC-01,100,,,,,posted,,,7,7,
warehouse_receipt_log.csv,warehouse_receipt,RCV-802,SCM-2026-802,PO-802,2026-06-11T14:30:00Z,YYC-01,220,,,,,posted,,,7,7,
warehouse_receipt_log.csv,warehouse_receipt,RCV-803,SCM-2026-803,PO-803,2026-06-14T15:30:00Z,YYC-02,80,,,,,posted,,,7,7,
warehouse_receipt_log.csv,warehouse_receipt,RCV-804,SCM-2026-804,PO-804,2026-06-17T11:30:00Z,YYC-01,150,,,,,posted,,,7,7,
warehouse_receipt_log.csv,warehouse_receipt,RCV-805,SCM-2026-805,PO-805,2026-06-19T17:00:00Z,YYC-03,120,,,,,posted,,,7,7,
warehouse_receipt_log.csv,warehouse_receipt,RCV-806,SCM-2026-806,PO-806,2026-06-22T17:30:00Z,YYC-02,480,,,,,posted,,,7,7,
warehouse_receipt_log.csv,warehouse_receipt,RCV-807,SCM-2026-807,PO-807,2026-06-24T16:30:00Z,YYC-01,80,,,,,posted,,,7,7,
warehouse_receipt_log.csv,warehouse_receipt,RCV-808,SCM-2026-808,PO-808,2026-06-27T12:30:00Z,YYC-03,200,,,,,posted,,,7,7,
quality_inspection_log.csv,quality_inspection,QI-801,SCM-2026-801,PO-801,,,,100,0,released,false,,,accepted,8,8,
quality_inspection_log.csv,quality_inspection,QI-802,SCM-2026-802,PO-802,,,,220,0,released,false,,,accepted partial receipt,8,8,
quality_inspection_log.csv,quality_inspection,QI-803,SCM-2026-803,PO-803,,,,80,20,quarantine,true,,,20 units cracked,8,8,
quality_inspection_log.csv,quality_inspection,QI-804,SCM-2026-804,PO-804,,,,150,0,released,false,,,accepted,8,8,
quality_inspection_log.csv,quality_inspection,QI-805,SCM-2026-805,PO-805,,,,120,0,released,false,,,accepted,8,8,
quality_inspection_log.csv,quality_inspection,QI-806,SCM-2026-806,PO-806,,,,480,0,released,false,,,accepted partial receipt,8,8,
quality_inspection_log.csv,quality_inspection,QI-807,SCM-2026-807,PO-807,,,,80,0,released,false,,,accepted overreceipt,8,8,
quality_inspection_log.csv,quality_inspection,QI-808,SCM-2026-808,PO-808,,,,200,0,released,false,,,accepted,8,8,
