rule_group,rule_id,target_field,condition_or_formula,required_value,precedence,notes
vocabulary,qualification_approved,supplier_qualification_status,source value equals approved,approved,,
vocabulary,qualification_restricted,supplier_qualification_status,source value equals restricted,restricted,,
vocabulary,qualification_suspended,supplier_qualification_status,source value equals suspended,suspended,,
vocabulary,qualification_unsupported,supplier_qualification_status,source value is outside approved|restricted|suspended,Needs verification,,Retain the original source value separately
integrity,valid,csv_integrity_status,physical row matches the declared schema,valid,,
integrity,malformed_partially_reconstructable,csv_integrity_status,some fields remain uniquely determinable and others are ambiguous,malformed_partially_reconstructable,,
integrity,duplicate_key_conflict,ledger_integrity_status,same key has conflicting amounts without an explicit relationship,duplicate_key_conflict,,
quantity,usable_received_qty,usable_received_qty,received_qty - rejected_qty,calculated numeric value,,
quantity,shortage_qty,shortage_qty,"max(ordered_qty - usable_received_qty, 0)",calculated numeric value,,
quantity,overreceipt_qty,overreceipt_qty,"max(usable_received_qty - ordered_qty, 0)",calculated numeric value,,
otif,on_time_pass,on_time_result,actual_delivery_date <= promised_delivery_date,Pass,,
otif,on_time_fail,on_time_result,actual_delivery_date > promised_delivery_date,Fail,,
otif,in_full_pass,in_full_result,usable_received_qty >= ordered_qty,Pass,,
otif,in_full_fail,in_full_result,usable_received_qty < ordered_qty,Fail,,
otif,otif_pass,otif_result,on_time_result=Pass and in_full_result=Pass,Pass,,
otif,otif_fail,otif_result,either component=Fail,Fail,,
financial,supplier_debit_eligible,supplier_debit_eligible_usd,"min(shortage_qty * shortage_debit_per_unit_usd + rejected_qty * damage_debit_per_unit_usd, max_supplier_debit_usd)",calculated numeric value,,
financial,supplier_debit_delta,supplier_debit_delta_usd,supplier_debit_eligible_usd - posted_supplier_debit_usd,calculated numeric value,,
financial,supplier_debit_matched,supplier_debit_status,delta=0,Matched,,
financial,supplier_debit_pending,supplier_debit_status,delta>0,Pending,,
financial,supplier_debit_overposted,supplier_debit_status,delta<0,Overposted,,
financial,supplier_debit_uncertain,supplier_debit_status,eligible or posted amount is decision-critically uncertain,Needs verification,,
financial,expedite_delta,expedite_delta_usd,authorized_expedite_usd - invoiced_expedite_usd,calculated numeric value,,
financial,expedite_matched,expedite_component_status,delta=0,Matched,,
financial,expedite_pending,expedite_component_status,delta>0,Pending,,
financial,expedite_overbilled,expedite_component_status,delta<0,Overbilled,,
reconciliation,reconciliation_needs_verification,reconciliation_status,either component=Needs verification,Needs verification,1,
reconciliation,reconciliation_pending,reconciliation_status,otherwise either component=Pending,Pending,2,
reconciliation,reconciliation_overposted,reconciliation_status,otherwise debit=Overposted or expedite=Overbilled,Overposted,3,
reconciliation,reconciliation_matched,reconciliation_status,otherwise both components=Matched,Matched,4,
final,final_needs_verification,final_case_status,a decision-critical field is uncertain,Needs verification,1,reason=SOURCE_FIELD_UNCERTAIN
final,final_compliance_hold,final_case_status,otherwise quality_hold_required=true or qualification is restricted or suspended,Compliance hold,2,reason=QUALITY_OR_COMPLIANCE_HOLD
final,final_financial_pending,final_case_status,otherwise either financial component=Pending,Financial action pending,3,reason=SUPPLIER_DEBIT_PENDING
final,final_overreceipt,final_case_status,otherwise overreceipt_qty>0,Overreceipt review,4,reason=OVERRECEIPT
final,final_supplier_corrective_action,final_case_status,otherwise otif_result=Fail,Supplier corrective action,5,reason=OTIF_FAILURE
final,final_ready_to_close,final_case_status,otherwise,Ready to close,6,reason=NO_BLOCKER
action_label,action_needs_verification,required_action fields,final_case_status=Needs verification,Record source verification required,,Label only; do not execute a real-world action
action_label,action_compliance_hold,required_action fields,final_case_status=Compliance hold,Record quality or compliance hold,,Label only; do not execute a real-world action
action_label,action_financial_pending,required_action fields,final_case_status=Financial action pending,Record financial reconciliation pending,,Label only; do not execute a real-world action
action_label,action_overreceipt,required_action fields,final_case_status=Overreceipt review,Record overreceipt review required,,Label only; do not execute a real-world action
action_label,action_supplier_corrective,required_action fields,final_case_status=Supplier corrective action,Record supplier corrective action required,,Label only; do not execute a real-world action
action_label,action_close,required_action fields,final_case_status=Ready to close,Record no blocker,,Label only; do not execute a real-world action
